filename,trigger,newtime_sec,samps_to_add
sub-01_ses-1_task-alice_acq-1.bdf,1,0.113525390625,15
sub-01_ses-1_task-alice_acq-1.bdf,2,0.11199951171875,14
sub-01_ses-1_task-alice_acq-1.bdf,3,0.10809326171875,14
sub-01_ses-1_task-alice_acq-1.bdf,4,0.11083984375,14
sub-01_ses-1_task-alice_acq-1.bdf,5,0.11016845703125,14
sub-01_ses-1_task-alice_acq-1.bdf,6,0.1082763671875,14
sub-01_ses-1_task-alice_acq-1.bdf,7,0.1064453125,14
sub-01_ses-1_task-alice_acq-1.bdf,8,0.11090087890625,14
sub-01_ses-1_task-alice_acq-1.bdf,9,0.111328125,14
sub-01_ses-1_task-alice_acq-1.bdf,10,0.1038818359375,13
sub-01_ses-1_task-alice_acq-1.bdf,11,0.09857177734375,13
sub-01_ses-1_task-alice_acq-1.bdf,12,0.10687255859375,14
sub-01_ses-1_task-alice_acq-1.bdf,13,0.1083984375,14
sub-01_ses-1_task-alice_acq-1.bdf,14,0.10687255859375,14
sub-01_ses-1_task-alice_acq-1.bdf,15,0.113037109375,14
sub-01_ses-1_task-mix_acq-2.bdf,1,0.10662841796875,14
sub-01_ses-1_task-mix_acq-2.bdf,2,0.10711669921875,14
sub-01_ses-1_task-mix_acq-2.bdf,3,0.1131591796875,14
sub-01_ses-1_task-mix_acq-2.bdf,4,0.10137939453125,13
sub-01_ses-1_task-mix_acq-2.bdf,5,0.1121826171875,14
sub-01_ses-1_task-mix_acq-2.bdf,6,0.1099853515625,14
sub-01_ses-1_task-mix_acq-2.bdf,7,0.1121826171875,14
sub-01_ses-1_task-mix_acq-2.bdf,8,0.10595703125,14
sub-01_ses-1_task-mix_acq-2.bdf,9,0.10400390625,13
sub-01_ses-1_task-mix_acq-2.bdf,10,0.0968017578125,12
sub-01_ses-1_task-mix_acq-2.bdf,11,0.1136474609375,15
sub-01_ses-1_task-mix_acq-2.bdf,12,0.11248779296875,14
sub-01_ses-1_task-mix_acq-2.bdf,13,0.11614990234375,15
sub-01_ses-1_task-mix_acq-2.bdf,14,0.1058349609375,14
sub-01_ses-1_task-mix_acq-2.bdf,15,0.1064453125,14
sub-02_ses-1_task-alice_acq-2.bdf,1,0.09979248046875,13
sub-02_ses-1_task-alice_acq-2.bdf,2,0.1082763671875,14
sub-02_ses-1_task-alice_acq-2.bdf,3,0.110107421875,14
sub-02_ses-1_task-alice_acq-2.bdf,4,0.108154296875,14
sub-02_ses-1_task-alice_acq-2.bdf,5,0.1055908203125,14
sub-02_ses-1_task-alice_acq-2.bdf,6,0.10601806640625,14
sub-02_ses-1_task-alice_acq-2.bdf,7,0.104736328125,13
sub-02_ses-1_task-alice_acq-2.bdf,8,0.1058349609375,14
sub-02_ses-1_task-alice_acq-2.bdf,9,0.1009521484375,13
sub-02_ses-1_task-alice_acq-2.bdf,10,0.10052490234375,13
sub-02_ses-1_task-alice_acq-2.bdf,11,0.11749267578125,15
sub-02_ses-1_task-alice_acq-2.bdf,12,0.11004638671875,14
sub-02_ses-1_task-alice_acq-2.bdf,13,0.11175537109375,14
sub-02_ses-1_task-alice_acq-2.bdf,14,0.10980224609375,14
sub-02_ses-1_task-alice_acq-2.bdf,15,0.10906982421875,14
sub-02_ses-1_task-mix_acq-1.bdf,1,0.10711669921875,14
sub-02_ses-1_task-mix_acq-1.bdf,2,0.11126708984375,14
sub-02_ses-1_task-mix_acq-1.bdf,3,0.10992431640625,14
sub-02_ses-1_task-mix_acq-1.bdf,4,0.10906982421875,14
sub-02_ses-1_task-mix_acq-1.bdf,5,0.1077880859375,14
sub-02_ses-1_task-mix_acq-1.bdf,6,0.1080322265625,14
sub-02_ses-1_task-mix_acq-1.bdf,7,0.10546875,14
sub-02_ses-1_task-mix_acq-1.bdf,8,0.10565185546875,14
sub-02_ses-1_task-mix_acq-1.bdf,9,0.11236572265625,14
sub-02_ses-1_task-mix_acq-1.bdf,10,0.11309814453125,14
sub-02_ses-1_task-mix_acq-1.bdf,11,0.10650634765625,14
sub-02_ses-1_task-mix_acq-1.bdf,12,0.10406494140625,13
sub-02_ses-1_task-mix_acq-1.bdf,13,0.1112060546875,14
sub-02_ses-1_task-mix_acq-1.bdf,14,0.101806640625,13
sub-02_ses-1_task-mix_acq-1.bdf,15,0.10546875,14
sub-03_ses-1_task-alice_acq-1.bdf,1,0.10516357421875,13
sub-03_ses-1_task-alice_acq-1.bdf,2,0.106201171875,14
sub-03_ses-1_task-alice_acq-1.bdf,3,0.10687255859375,14
sub-03_ses-1_task-alice_acq-1.bdf,4,0.108642578125,14
sub-03_ses-1_task-alice_acq-1.bdf,5,0.09869384765625,13
sub-03_ses-1_task-alice_acq-1.bdf,6,0.10308837890625,13
sub-03_ses-1_task-alice_acq-1.bdf,7,0.1033935546875,13
sub-03_ses-1_task-alice_acq-1.bdf,8,0.1016845703125,13
sub-03_ses-1_task-alice_acq-1.bdf,9,0.104736328125,13
sub-03_ses-1_task-alice_acq-1.bdf,10,0.10723876953125,14
sub-03_ses-1_task-alice_acq-1.bdf,11,0.1129150390625,14
sub-03_ses-1_task-alice_acq-1.bdf,12,0.107177734375,14
sub-03_ses-1_task-alice_acq-1.bdf,13,0.1044921875,13
sub-03_ses-1_task-alice_acq-1.bdf,14,0.103515625,13
sub-03_ses-1_task-alice_acq-1.bdf,15,0.10052490234375,13
sub-03_ses-1_task-mix_acq-2.bdf,1,0.11346435546875,15
sub-03_ses-1_task-mix_acq-2.bdf,2,0.10711669921875,14
sub-03_ses-1_task-mix_acq-2.bdf,3,0.1082763671875,14
sub-03_ses-1_task-mix_acq-2.bdf,4,0.11083984375,14
sub-03_ses-1_task-mix_acq-2.bdf,5,0.10272216796875,13
sub-03_ses-1_task-mix_acq-2.bdf,6,0.10589599609375,14
sub-03_ses-1_task-mix_acq-2.bdf,7,0.10906982421875,14
sub-03_ses-1_task-mix_acq-2.bdf,8,0.10443115234375,13
sub-03_ses-1_task-mix_acq-2.bdf,9,0.1046142578125,13
sub-03_ses-1_task-mix_acq-2.bdf,10,0.11114501953125,14
sub-03_ses-1_task-mix_acq-2.bdf,11,0.10858154296875,14
sub-03_ses-1_task-mix_acq-2.bdf,12,0.1109619140625,14
sub-03_ses-1_task-mix_acq-2.bdf,13,0.10980224609375,14
sub-03_ses-1_task-mix_acq-2.bdf,14,0.1077880859375,14
sub-03_ses-1_task-mix_acq-2.bdf,15,0.1051025390625,13
sub-04_ses-1_task-alice_acq-2.bdf,1,0.11431884765625,15
sub-04_ses-1_task-alice_acq-2.bdf,2,0.10943603515625,14
sub-04_ses-1_task-alice_acq-2.bdf,3,0.10797119140625,14
sub-04_ses-1_task-alice_acq-2.bdf,4,0.111083984375,14
sub-04_ses-1_task-alice_acq-2.bdf,5,0.11309814453125,14
sub-04_ses-1_task-alice_acq-2.bdf,6,0.10595703125,14
sub-04_ses-1_task-alice_acq-2.bdf,7,0.10321044921875,13
sub-04_ses-1_task-alice_acq-2.bdf,8,0.098876953125,13
sub-04_ses-1_task-alice_acq-2.bdf,9,0.10345458984375,13
sub-04_ses-1_task-alice_acq-2.bdf,10,0.10614013671875,14
sub-04_ses-1_task-alice_acq-2.bdf,11,0.1048583984375,13
sub-04_ses-1_task-alice_acq-2.bdf,12,0.10833740234375,14
sub-04_ses-1_task-alice_acq-2.bdf,13,0.104736328125,13
sub-04_ses-1_task-alice_acq-2.bdf,14,0.1070556640625,14
sub-04_ses-1_task-alice_acq-2.bdf,15,0.10858154296875,14
sub-04_ses-1_task-mix_acq-1.bdf,1,0.1119384765625,14
sub-04_ses-1_task-mix_acq-1.bdf,2,0.11309814453125,14
sub-04_ses-1_task-mix_acq-1.bdf,3,0.10797119140625,14
sub-04_ses-1_task-mix_acq-1.bdf,4,0.1055908203125,14
